#voc_Fr
#    Wörter    #
Allemand,Francais
se reseigner sur qc,sich über etwas erkundigen
faire un stage,ein Praktikum machen
une offre,ein Angebot
une candidature,eine Bewerbung
un entretien/d'embauche,ein Vorstellungsgespräch
un employé/une employée,eine Angestellte
un domaine,ein Bereich
permettre à qn de faire qc,jemandem etwas ermöglichen
être responsable de qc/ de faire qc,zuständig/ verantwortlich sein für etwas
élaborer qc,etwas erarbeiten
un produit,ein Produkt
être au chômage,arbeitslos sein
briculeur/ bricoleuse,handwerklich geschickt
travailler de ses mains,manuell arbeiten
un rapport,ein Bezug/ ein Verhältnis
lequel/ laquelle/ lesquells/ lesquelles,welcher/ welche/ welches
un objectif,ein Ziel
le son,der Klang/ der Ton
l'audiovisuel,die Audio-Video-Technik
la biologie,die Biologie
en plus,außerdem
un aspect,ein Aspekt
une conseption,eine Konzeption
graphique/ graphique,grafisch
la création,die Schöpfung/ die Kreation/ die Erstellung
l'esthétique,die Ästetik/ der Schönheitssinn
une agence, eine Argentur
la communication,die Kommunikation
en général,im Allgemeinen
créatif/ créative,kreativ
ne...aucun/ ne...aucune,kein/ keine/ keines
l'agralimentaire,der Lebensmittelsektor
un développement,eine Entwicklung
tester qc,etwas testen
la pâtisserie,die Konditorei/ die Konditoreiwaren
améliorer qc,etwas verbessern
celui/ celle/ ceux/ celles,derjenige/ diejenige/ desjenigen/ dasjenige/ diejenigen
celui-ci/ celle-ci/ ceux-ci/ celles-ci,dieser/ diese/ dieses
celui-lá/ celle-lá/ ceux-lá/ celles-lá,jener/ jene/ jenes
adapter qc á qc,etwas an etwas anpassen
combiner qc,etwas an etwas anpassen
un ingrédient,eine Zutat/ ein Bestandteil
un frigo,ein Kühlschrank
allier qc á qc,etwas mit etwas verbinden
la chimie,die Chemie
ne...ni...; ni,weder...noch
un laboratoire,ein Labor(atorium)
un service,eine Abteilung/ ein Dienst
un reporter/ une reporter,ein Reporter/ eine Reporterin
la presse,die Presse
transmettre qc à qc,jemandem etwas übermitteln/ jemandem etwas weitergeben
les Etates-Unis,die Vereinigten Staaten
filmer qc,etwas filmen
interviewer qn,jemanden interviewen
analyser qc,etwas analysieren/ etwas untersuchen
l'environnement,die Umwelt/ die Umgebung
l'actualité,das Tagesgeschehen/das Zeitgeschehen
un montage,ein Schnitt (Film)/ eine Montage
un ingénieur du son,ein Toningenieur
venir,kommen
#    Sätze    #
Je suis très bricoleur/ bricoleuse.,Ich bin handwerklich sehr geschickt.
Je sais bien travallier de mes mains.,Ich kann sehr gut manuell arbeiten.
Je voudrais faire un travail en rapport avec mes matières préférées.,Ich würde sehr gerne eine Arbeit machen; die ein Bezug zu meinen Lieblingsfächern hat.
Lequel? Je ne sais pas encore.,Welche (Arbeit)? Das weiß ich noch nicht.
La banque dans laquelle il travaille est à Francfort.,Die Bank; in welcher er arbeitet; ist in Frankfurt.
Quel est l'objectif de ce module?,Was ist das Ziel dieses Moduls?
Je voudrais travailler dans l'audiovisuel.,Ich möchte in der Audio-Video-Technik arbeiten.
Je voudrais faire des études de biologie. J'aimerais être biologiste.,Ich würde gerne Biologie studieren. Ich währe gerne Biologe/ Biologin.
En plus; j'aimerais être utile aux autres.,Außerdem möchteich gerne den anderen nützlich sein.
Un webdesigner travaille sur la conception graphique d'un site Internet.,Ein Webdesigner arbeitet an der grafischen Konzeption(Gestaltung) einer Internetseite.
La création d'un site Internet.,Die Erstellung einer Internetseite.
Pour ce métier; il faut avoir le sens de l'esthétique.,Für diesen Beruf braucht man einen Sinn für ästhetische Gestaltung.
